Plazo,Tasa Cupon Cero
39478,7.9118
39507,7.945
39538,7.935
39568,8.175
39599,8.45
39629,8.65
39691,8.72
39721,8.74
39752,8.1368
39782,7.92
39844,6.3012
39872,5.4869
39903,5.12
39964,4.855
39994,4.9375
40025,4.9367
40056,4.925
40117,4.915
40147,4.955
40209,4.95
40237,4.93
40298,4.9
40329,4.904
40390,4.87
40421,4.8743
40482,4.85
40512,4.82
40543,4.825
40574,4.8699
40602,4.8568
40663,4.815
40694,4.79
40755,4.7925
40816,4.8018
40847,4.78
40908,4.764
40968,4.7575
40999,4.7636
41060,4.8
41090,4.81
41152,4.8462
41182,4.8437
41213,4.83
41243,4.805
41305,4.3275
41333,4.3075
41364,4.3144
41425,4.3046
41455,4.0355
41486,3.7972
41517,3.8009
41578,3.765
41608,3.7962
41670,3.795
41698,3.8085
41759,3.291
41790,3.2975
41851,3.2903
41912,3.302
41943,3.305
42004,3.2955
42063,3.295
42094,3.3025
42124,3.305
42185,3.325
42216,3.3
42277,3.5505
42308,3.5551
42369,4.0625
42460,4.1131
42490,4.5874
42521,4.595
42551,4.6399
42613,5.5677
42643,6.11
42704,6.605
42735,6.6796
42794,7.14
42825,7.3492
42886,7.3709
42916,7.38
42978,7.3825
43008,7.6241
43039,7.645
43069,7.8315
43159,7.8585
43190,8.103
43251,8.1043
43281,8.115
43312,8.1215
43343,8.345
43404,8.5944
43434,8.5365
43524,8.5075
43585,8.4675
43616,8.2625
43677,7.98
43738,7.5615
43769,7.5025
43799,7.2925
43830,6.7025
43890,5.7395
43921,5.2665
43982,4.764
44012,4.5487
44074,4.4889
44135,4.45
44165,4.2825
44227,4.286
44255,4.2825
44316,4.5125
44347,4.7455
44408,5.0004
44469,5.715
44500,5.739
44561,6.7225
44651,8.025
44681,8.1074
44742,9.5453
44804,10.3162
44834,10.7663
44895,11.285
44957,11.5625
44985,11.5033
45016,11.508
45077,11.4972
45107,11.4979
45138,11.5065
45169,11.504
45230,11.4984
45260,11.485
45322,11.24
45351,11.245
45382,11.2465
45412,11.2325
45473,10.7399
